:ID#,:LABEL#,name
Q2546#Compound#chemical compound
Q19052#Compound#inorganic compound
Q32703#Compound#chemical compound
Q41353#Compound#chemical compound
Q43656#Compound#sterol biosynthesized by all animal cells which is an essential structural component of all animal cell membranes
Q44804#Compound#chemical compound
Q45143#Compound#chemical compound
Q49546#Compound#chemical compound
Q50694#Compound#chemical compound
Q50703#Compound#chemical compound
Q52858#Compound#chemical compound
Q58356#Compound#chemical compound
Q58713#Compound#chemical compound
Q61416#Compound#chemical compound
Q63814#Compound#chemical compound
Q68484#Compound#chemical compound
Q68566#Compound#chemical compound
Q69488#Compound#empathogen and stimulant
Q79583#Compound#chemical compound
Q80232#Compound#chemical compound
Q80250#Compound#chemical compound
Q80868#Compound#chemical compound
Q83320#Compound#Highly corrosive mineral acid
Q105522#Compound#the end product of nucleic acid degradation
Q113820#Compound#alcohol
Q121881#Compound#chemical compound
Q126657#Compound#chemical compound
Q132428#Compound#chemical compound
Q135445#Compound#chemical compound
Q137648#Compound#chemical compound
Q139307#Compound#chemical compound
Q144085#Compound#chemical compound
Q144362#Compound#chemical compound
Q149452#Compound#chemical compound
Q150694#Compound#chemical compound
Q150717#Compound#chemical compound
Q150808#Compound#organic compound
Q150977#Compound#organic compound
Q150988#Compound#chemical compound
Q155746#Compound#chemical compound
Q155883#Compound#chemical compound
Q155954#Compound#antiretroviral drug, used to treat or prevent HIV and hepatitis infections
Q161267#Compound#chemical compound
Q161288#Compound#chemical compound
Q161451#Compound#chemical compound
Q161471#Compound#chemical compound
Q161479#Compound#chemical compound
Q161535#Compound#chemical compound
Q161563#Compound#chemical compound
Q161564#Compound#chemical compound
Q161637#Compound#chemical compound
Q161640#Compound#chemical compound
Q161641#Compound#chemical compound
Q161646#Compound#chemical compound
Q161655#Compound#chemical compound
Q161656#Compound#chemical compound
Q161660#Compound#chemical compound
Q161684#Compound#chemical compound
Q165003#Compound#chemical compound
Q165930#Compound#chemical compound
Q168065#Compound#chemical compound
Q168686#Compound#chemical compound
Q168790#Compound#chemical compound
Q169313#Compound#chemical compound
Q169326#Compound#chemical compound
Q171877#Compound#chemical compound
Q172422#Compound#chemical compound
Q173043#Compound#chemical bath usually used in processing traditional black-and-white photographic films, plates, and paper
Q174723#Compound#opiate used to treat pain
Q174786#Compound#chemical compound
Q174937#Compound#chemical compound
Q175718#Compound#chemical compound
Q180508#Compound#chemical compound
Q181545#Compound#chemical compound
Q181619#Compound#chemical compound
Q182849#Compound#chemical compound
Q183300#Compound#chemical compound
Q186257#Compound#benzodiazepine derivative medication
Q186969#Compound#chemical compound
Q187487#Compound#chemical compound
Q189522#Compound#chemical compound
Q190878#Compound#form of carbon processed to have small, low-volume pores that increase the surface area
Q191381#Compound#chemical compound
Q191521#Compound#Sildenafil is a medication used to treat erectile dysfunction and pulmonary arterial hypertension
Q191831#Compound#chemical compound
Q192454#Compound#chemical compound
Q193572#Compound#chemical compound
Q195823#Compound#chemical compound
Q198728#Compound#chemical compound
Q201090#Compound#chemical compound
Q202998#Compound#chemical compound
Q203174#Compound#chemical compound
Q204030#Compound#chemical compound
Q204594#Compound#chemical compound
Q204714#Compound#chemical compound
Q204717#Compound#chemical compound
Q204964#Compound#chemical compound
Q204981#Compound#chemical compound
Q205562#Compound#chemical compound
Q207843#Compound#chemical compound
Q209124#Compound#chemical compound
Q209162#Compound#chemical compound
Q209192#Compound#chemical compound
Q209198#Compound#chemical compound
Q209267#Compound#chemical compound
Q209281#Compound#chemical compound
Q209284#Compound#chemical compound
Q209347#Compound#chemical compound
Q209355#Compound#chemical compound
Q209370#Compound#chemical compound
Q209381#Compound#chemical compound
Q209389#Compound#chemical compound
Q209407#Compound#chemical compound
Q209415#Compound#chemical compound
Q209433#Compound#chemical compound
Q209444#Compound#chemical compound
Q209450#Compound#chemical compound
Q209452#Compound#chemical compound
Q209453#Compound#chemical compound
Q209460#Compound#chemical compound
Q211433#Compound#chemical compound
Q211737#Compound#chemical compound
Q211891#Compound#chemical compound
Q211972#Compound#organometallic compound: Fe(II) sandwiched between two cyclopentadienyl rings
Q220108#Compound#chemical compound
Q221174#Compound#an anticonvulsant (antiepilepsy) drug
Q222290#Compound#chemical compound
Q223008#Compound#chemical compound
Q223011#Compound#chemical compound
Q223012#Compound#chemical compound
Q223014#Compound#chemical compound
Q223036#Compound#chemical compound
Q223042#Compound#chemical compound
Q223089#Compound#chemical compound
Q223096#Compound#chemical compound
Q223112#Compound#chemical compound
Q229843#Compound#chemical compound
Q229970#Compound#chemical compound
Q229995#Compound#chemical compound
Q230010#Compound#chemical compound
Q230012#Compound#chemical compound
Q230013#Compound#chemical compound
Q238472#Compound#chemical compound
Q238477#Compound#chemical compound
Q239778#Compound#Drug, chemical compound
Q240557#Compound#chemical compound
Q245825#Compound#chemical compound
Q246414#Compound#chemical compound
Q252251#Compound#chemical compound
Q253118#Compound#chemical compound
Q254296#Compound#chemical compound
Q259015#Compound#chemical compound
Q259075#Compound#chemical compound
Q259930#Compound#chemical compound
Q260375#Compound#chemical compound
Q263713#Compound#chemical compound
Q265978#Compound#chemical compound
